mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_most_bpka,cx_logp,cx_logd,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,PCT_IHB_3D7,pXC50_3D7
443.59,5.0,3.0,2.0,59.57,5.0,1.0,10.07,3.3,1.85,443.59,3.0,33.0,0.55,443.2573,5.0,2.0,1.0,-0.5,98.0,6.01719
357.46,4.01,4.0,2.0,70.83,2.0,0.0,10.03,2.55,-0.55,393.92,4.0,27.0,0.57,357.1953,5.0,3.0,0.0,-1.05,100.0,6.22812
381.52,6.19,2.0,1.0,31.92,4.0,1.0,9.41,6.24,4.23,495.55,4.0,29.0,0.46,381.2205,3.0,1.0,1.0,-1.02,100.0,6.22998
430.53,4.15,4.0,2.0,55.39,6.0,0.0,7.9,4.17,3.55,544.55,4.0,32.0,0.48,430.2169,5.0,2.0,0.0,-1.36,100.0,6.2161
458.61,5.81,6.0,0.0,51.02,6.0,1.0,1.9,5.08,5.08,458.61,4.0,32.0,0.34,458.1235,5.0,0.0,1.0,-1.77,99.0,6.23047
570.6,6.12,7.0,3.0,100.0,9.0,2.0,9.79,4.78,2.71,684.62,4.0,41.0,0.17,570.2479,9.0,3.0,2.0,-2.08,98.0,6.27457
586.11,5.94,8.0,3.0,109.0,11.0,2.0,7.63,4.44,4.01,586.11,5.0,39.0,0.16,585.1071,8.0,3.0,2.0,-1.82,99.0,6.07347
519.83,8.66,4.0,1.0,43.38,5.0,2.0,8.05,7.41,6.7,519.83,5.0,33.0,0.25,518.0397,4.0,1.0,2.0,-1.08,100.0,6.55719
602.22,6.92,4.0,2.0,84.66,11.0,2.0,9.17,7.13,5.36,602.22,3.0,43.0,0.23,601.3071,6.0,3.0,2.0,-0.63,93.0,5.96205
435.46,5.33,5.0,2.0,93.79,4.0,1.0,4.23,5.21,5.21,435.46,5.0,33.0,0.4,435.1495,6.0,3.0,1.0,-1.14,100.0,6.1941
515.66,7.48,3.0,2.0,57.36,7.0,2.0,9.07,6.87,5.19,515.66,5.0,39.0,0.24,515.2573,5.0,2.0,2.0,-0.99,100.0,6.11634
324.43,2.53,6.0,3.0,94.78,4.0,0.0,10.49,2.36,-0.52,360.89,3.0,24.0,0.69,324.2062,6.0,5.0,0.0,-0.85,98.0,6.04695
583.69,4.44,7.0,3.0,134.92,14.0,1.0,4.87,3.72,3.71,583.69,4.0,43.0,0.15,583.2795,10.0,3.0,1.0,-0.71,82.0,6.02202
345.32,1.91,5.0,3.0,95.96,5.0,0.0,9.03,1.86,0.36,426.24,1.0,24.0,0.71,345.1413,7.0,4.0,0.0,-0.69,93.0,8.49485
508.71,7.56,4.0,2.0,42.52,17.0,2.0,9.61,7.48,3.7,604.81,4.0,38.0,0.11,508.309,4.0,2.0,2.0,-0.28,100.0,6.06586
480.7,6.53,4.0,4.0,90.22,18.0,1.0,12.0,6.41,1.59,517.16,2.0,35.0,0.11,480.3464,6.0,4.0,1.0,-0.21,99.0,6.60771
401.56,3.9,3.0,2.0,54.72,7.0,0.0,9.23,4.63,1.62,401.56,2.0,30.0,0.24,401.2579,5.0,2.0,0.0,-0.9,89.0,5.74631
459.49,3.8,9.0,1.0,108.12,7.0,0.0,8.81,3.34,1.91,459.49,5.0,34.0,0.39,459.1819,9.0,2.0,0.0,-1.34,97.0,6.06257
471.52,5.7,5.0,3.0,99.77,5.0,1.0,5.14,5.13,5.03,471.52,5.0,34.0,0.31,471.1165,7.0,3.0,1.0,-1.95,100.0,7.04962
392.52,4.96,4.0,1.0,41.57,6.0,0.0,8.72,5.03,3.69,506.55,3.0,28.0,0.64,392.1558,4.0,1.0,0.0,-1.85,84.0,6.04825
309.8,4.37,2.0,1.0,40.51,2.0,0.0,6.07,4.37,4.35,309.8,3.0,22.0,0.54,309.1033,3.0,1.0,0.0,-1.32,100.0,6.1236
429.01,4.08,3.0,2.0,51.37,5.0,0.0,9.65,3.03,0.8,429.01,2.0,30.0,0.75,428.2343,5.0,2.0,0.0,-1.47,92.0,5.9259
339.49,4.07,5.0,2.0,53.08,7.0,0.0,8.63,3.98,2.72,339.49,2.0,25.0,0.8,339.2423,5.0,2.0,0.0,-1.27,100.0,6.18207
633.84,5.29,6.0,2.0,111.69,11.0,2.0,9.06,5.29,3.62,633.84,3.0,47.0,0.3,633.3679,8.0,3.0,2.0,-0.87,99.0,6.35383
